first_name,last_name,email,credit card type,expiration date,credit card number,city,state,street,zip
Kyle,Howard,kyle.howard@ymail.com,Discover,24-Oct,6011314116955490,Cheraw,Colorado,208 Adams Street,81030
Layla,Diaz,layla.grace.diaz@gmail.com,VISA,22-Jul,4024007130825150,Atlanta,Georgia,66 Laurel Street,31156
Audrey,Rivera,arivera@outlook.com,American Express,22-Sep,371140808956093,Circleville,Utah,691 Mill Road,84723
Matthew,Ross,m.ross@ymail.com,Discover,24-Aug,6011285430554340,Geuda Springs,Kansas,110 Buckingham Drive,67051
Isaac,Martinez,isaac.lee@aol.com,American Express,24-Aug,342425865056598,Claremont,Illinois,56 Fairway Drive,62421
Stephanie,Cox,s_cox1@rocketmail.com,MasterCard,21-Jan,2720993774965760,North,Virginia,53 11th Street,23128
John,Alexander,johnalexander@rocketmail.com,American Express,25-Mar,340389244626426,Eastchester,New York,3502 School Street,10709
Nicole,Cox,nicolei@outlook.com,MasterCard,21-Sep,5429978552659560,Fall River,Massachusetts,31 7th Street East,2721
Olivia,Stewart,olivia@gmail.com,MasterCard,21-Jun,5302800651277050,Springfield,Illinois,75 Holly Drive,62769
Stephanie,Butler,s_butler42@gmail.com,Discover,24-Nov,6011424222231260,Little Falls,New Jersey,40188 Union Street,7424
Samuel,Gray,s_gray@rocketmail.com,Discover,22-Jul,6011513737082120,Henderson,North Carolina,791 Route 6,27536
Laura,Butler,laura.j.butler@rocketmail.com,American Express,24-Feb,349066878767558,Austin,Texas,44122 Main Street East,78728
Ashley,Ross,ashley_ross@gmail.com,Discover,21-Jul,6011380647754840,Warwick,Rhode Island,949 Jefferson Street,2886
Maria,Long,maria.long@hotmail.com,MasterCard,25-Oct,2720999400953640,Tenaha,Texas,60339 River Street,75974
Daniel,Brown,daniel_brown@ymail.com,MasterCard,24-Apr,2221006576113700,Fort Lauderdale,Florida,343 7th Avenue,33332
Nathan,Washington,nathanscottwashington@ymail.com,VISA,23-Dec,4916022708346110,Axtell,Kansas,297 Bridge Street,66403
Aiden,Campbell,aidenedwardcampbell@live.com,Discover,24-Apr,6011295595263270,Prescott Valley,Arizona,4388 Penn Street,86314
Aaron,Foster,aaron.foster@aol.com,VISA,21-Jan,4916022708346110,East Longmeadow,Massachusetts,8213 Summit Avenue,1028
Grace,Simmons,g_simmons@yahoo.com,Discover,21-Apr,6011513737082120,Kent,Ohio,9310 Clinton Street,44243
Jeremy,Washington,j.e.washington@ymail.com,VISA,21-Sep,4617335814185170,Kermit,Texas,17 Franklin Avenue,79745
Eleanor,Russell,e_russell@gmail.com,Discover,24-Dec,6011285430554340,La Fayette,Illinois,35 Liberty Street,61449
Samuel,Carter,sacarter@ymail.com,Discover,22-Aug,6011057825438240,Wileyville,West Virginia,217 2nd Street West,26186
Eleanor,Collins,e_collins@aol.com,American Express,23-May,342425865056598,Penasco,New Mexico,985 Jefferson Street,87553
Samantha,Rodriguez,samantha24@live.com,VISA,24-Jun,4556232777152510,Groveland,Massachusetts,86426 Spruce Street,1834
Nicholas,Hughes,nicholas_hughes44@ymail.com,MasterCard,21-Oct,2221004698664290,Frankfort,Kentucky,5 Mill Road,40618
Sofia,Coleman,scoleman95@ymail.com,VISA,22-Mar,4716080743154430,Blairstown,Missouri,722 Delaware Avenue,64726
Ryan,Cox,ryan.lee.cox@ymail.com,VISA,21-May,4716774298229600,Monterville,West Virginia,48638 Park Street,26282
Emma,Clark,eclark1@gmail.com,American Express,24-May,347348524392979,Akron,Ohio,26 Academy Street,44314
Isabella,Lopez,isabella@outlook.com,VISA,22-Jul,4532582895759530,Allentown,New Jersey,285 Walnut Street,8501
Mateo,King,mateo.king20@ymail.com,MasterCard,23-Oct,2221006576113700,El Paso,Texas,50088 Virginia Avenue,88571
Sean,Bell,sean_david_bell@live.com,VISA,23-Dec,4556232777152510,Jersey City,New Jersey,3 Walnut Street,7311
Natalie,Cooper,n.cooper@gmail.com,American Express,21-Jun,375654624297611,New Orleans,Louisiana,695 Warren Street,70124
Hannah,Simmons,hannah_m_simmons@hotmail.com,MasterCard,24-Jun,2221006576113700,Boise,Idaho,16451 Essex Court,83726
Jason,Lopez,jlopez@gmail.com,Discover,21-Nov,6011810914456470,Albany,New York,31 Fairview Avenue,12234
Sarah,Hill,sarah.elizabeth.hill@aol.com,American Express,22-May,373048133572519,Johnstown,Pennsylvania,70 Hillcrest Drive,15904
Eleanor,Reed,eleanor40@aol.com,American Express,22-Mar,342425865056598,Ryde,California,469 Route 1,95680
